query,stakeholders,roles,topics,concepts,rounds,time (ms)
mongolian,3,0,2,1,100,104
tiramisu,3,0,2,1,3000,1251
mongolian,3,0,2,50,1,2762
tiramisu,3,0,1,50,10000,160228
mongolian,3,0,3,1,100,154
tiramisu,3,0,3,1,10000,4200
mongolian,3,0,3,1,100,527
mongolian,3,0,3,1,1,139
mongolian,3,0,3,1,10000,13820
mongolian,3,0,1,10,10000,108638
mongolian,3,0,1,10,10000,22511
tiramisu,3,0,2,50,1,1632
mongolian,3,0,3,50,30,2869
mongolian,3,0,2,50,10000,17773
mongolian,3,0,2,10,1,30053
tiramisu,3,0,1,3,10000,6593
tiramisu,3,0,1,3,3000,277422
tiramisu,3,0,2,3,300,403
mongolian,3,0,3,1,30,3424
mongolian,3,0,3,50,300,443169
mongolian,3,0,1,3,3000,5231
mongolian,3,0,2,10,10000,10529
tiramisu,3,0,3,10,100,320
tiramisu,3,0,1,3,30,461
tiramisu,3,0,2,1,100,97
tiramisu,3,0,2,1,3000,99587
tiramisu,3,0,1,1,1,41
mongolian,3,0,2,3,1,171
mongolian,3,0,2,10,1,544
mongolian,3,0,3,10,300,1763
tiramisu,3,0,2,10,3000,9465
tiramisu,3,0,3,10,300,831
tiramisu,3,0,1,10,3000,32208
mongolian,3,0,3,10,30,566
tiramisu,3,0,3,1,3000,101447
mongolian,3,0,2,1,100,3273
tiramisu,3,0,3,3,300,383
mongolian,3,0,3,50,30,2709
mongolian,3,0,3,1,30,3398
tiramisu,3,0,1,10,3000,9490
tiramisu,3,0,1,1,10000,30718
tiramisu,3,0,2,10,100,29787
mongolian,3,0,1,1,3000,2304
mongolian,3,0,3,50,3000,81676
tiramisu,3,0,2,1,1,3251
tiramisu,3,0,2,50,3000,58403
tiramisu,3,0,1,10,1,199
tiramisu,3,0,3,3,10000,932744
tiramisu,3,0,1,50,300,445750
tiramisu,3,0,2,3,100,110
mongolian,3,0,2,1,3000,105585
mongolian,3,0,3,3,10000,18425
tiramisu,3,0,3,50,100,151447
tiramisu,3,0,2,1,3000,1345
tiramisu,3,0,2,10,100,111
tiramisu,3,0,2,3,1,9268
tiramisu,3,0,1,1,1,78
tiramisu,3,0,1,3,300,325
tiramisu,3,0,2,10,1,1189
tiramisu,3,0,2,50,300,586
tiramisu,3,0,2,3,100,104
mongolian,3,0,3,10,1,152
mongolian,3,0,3,10,30,30114
tiramisu,3,0,3,50,30,1945
tiramisu,3,0,2,1,10000,11157
tiramisu,3,0,2,50,30,1086
tiramisu,3,0,2,10,10000,25104
tiramisu,3,0,1,50,300,5681
tiramisu,3,0,1,3,10000,7374
mongolian,3,0,2,50,30,2733
tiramisu,3,0,3,1,100,39
mongolian,3,0,1,1,30,78
mongolian,3,0,2,3,300,390
tiramisu,3,0,2,3,1,567
mongolian,3,0,2,1,30,3354
tiramisu,3,0,1,3,1,9271
mongolian,3,0,1,50,100,1039
mongolian,3,0,3,1,30,136
tiramisu,3,0,3,1,30,56
mongolian,3,0,1,50,1,149182
tiramisu,3,0,1,1,300,208
tiramisu,3,0,2,50,3000,21756
tiramisu,3,0,1,10,300,3158
tiramisu,3,0,2,10,300,1086
tiramisu,3,0,1,1,1,46
tiramisu,3,0,1,50,100,4516
mongolian,3,0,3,10,100,1293
tiramisu,3,0,2,3,3000,279710
tiramisu,3,0,3,3,1,113
tiramisu,3,0,1,3,10000,47977
mongolian,3,0,2,3,30,129
tiramisu,3,0,1,10,10000,2913329
tiramisu,3,0,3,50,300,577
mongolian,3,0,2,3,30,125
mongolian,3,0,3,1,10000,14096
mongolian,3,0,3,50,30,192
mongolian,3,0,1,10,10000,18814
