query,stakeholders,roles,topics,concepts,rounds,time (ms)
mongolian,3,0,1,1,3000,9012
mongolian,3,0,3,50,1000,44561
mongolian,3,0,1,50,30,2651
mongolian,3,0,1,3,300,306
tiramisu,3,0,1,50,30,133
tiramisu,3,0,2,50,10000,19274
mongolian,3,0,3,10,1,592
tiramisu,3,0,3,10,1000,1300
tiramisu,3,0,1,3,30,468
tiramisu,3,0,3,1,10000,12490
mongolian,3,0,3,10,1,126
mongolian,3,0,2,10,30,556
mongolian,3,0,3,50,10000,263247
tiramisu,3,0,2,10,300,743
mongolian,3,0,2,50,3000,5848
tiramisu,3,0,1,10,30,29106
tiramisu,3,0,3,1,10000,51634
mongolian,3,0,1,3,1,68
tiramisu,3,0,2,10,1000,2167
tiramisu,3,0,2,3,3000,3938
mongolian,3,0,3,1,1000,33259
mongolian,3,0,2,50,100,2687
mongolian,3,0,2,3,1,563
mongolian,3,0,1,50,3000,127315
mongolian,3,0,1,10,100,1031
tiramisu,3,0,1,3,300,204
mongolian,3,0,3,50,300,7956
mongolian,3,0,3,1,1000,666
mongolian,3,0,1,1,30,67
mongolian,3,0,3,1,30,118
mongolian,3,0,2,1,100,62
tiramisu,3,0,3,50,100,1052
mongolian,3,0,1,50,30,2609
mongolian,3,0,3,1,3000,4055
mongolian,3,0,1,1,300,245
tiramisu,3,0,3,3,30,98
mongolian,3,0,1,10,1,545
mongolian,3,0,2,1,10000,9348
mongolian,3,0,1,10,300,3090
tiramisu,3,0,2,50,300,4559
tiramisu,3,0,2,1,10000,4026
mongolian,3,0,1,10,10000,102792
mongolian,3,0,3,1,3000,3632
mongolian,3,0,2,50,100,190
mongolian,3,0,1,50,10000,265430
mongolian,3,0,2,3,100,183
mongolian,3,0,2,10,1000,2148
mongolian,3,0,1,3,1000,1683
mongolian,3,0,3,10,1,29339
mongolian,3,0,2,10,10000,53123
tiramisu,3,0,3,1,300,373
tiramisu,3,0,3,3,10000,16220
tiramisu,3,0,1,1,1,37
tiramisu,3,0,3,1,1000,434
tiramisu,3,0,3,3,100,101
mongolian,3,0,3,10,3000,3968
tiramisu,3,0,2,1,10000,9723
tiramisu,3,0,2,3,10000,10817
mongolian,3,0,1,3,1000,1746
mongolian,3,0,1,10,1000,5593
mongolian,3,0,1,3,1000,4604
tiramisu,3,0,3,3,10000,68428
mongolian,3,0,1,50,1000,26674
tiramisu,3,0,1,10,100,214
tiramisu,3,0,2,1,3000,12280
tiramisu,3,0,2,10,300,87817
tiramisu,3,0,1,10,3000,2409
mongolian,3,0,1,10,1000,5581
mongolian,3,0,1,10,3000,16020
mongolian,3,0,3,50,10000,14486662
tiramisu,3,0,3,50,100,1857
tiramisu,3,0,1,10,1000,291098
tiramisu,3,0,2,1,300,9662
tiramisu,3,0,3,3,1000,91091
mongolian,3,0,2,50,30,2648
mongolian,3,0,2,1,10000,6537
tiramisu,3,0,2,1,300,111
mongolian,3,0,3,3,1000,91267
mongolian,3,0,1,1,10000,6203
mongolian,3,0,1,10,1000,833
tiramisu,3,0,2,50,1000,15172
tiramisu,3,0,2,3,10000,9739
tiramisu,3,0,1,3,1000,683
tiramisu,3,0,3,50,100,1508
mongolian,3,0,2,3,100,173
tiramisu,3,0,1,50,100,1473
mongolian,3,0,3,10,3000,37068
tiramisu,3,0,2,50,1,719
tiramisu,3,0,3,50,3000,44810
mongolian,3,0,1,3,1000,1679
mongolian,3,0,3,50,3000,5805
tiramisu,3,0,2,3,30,146
tiramisu,3,0,3,3,10000,12267
mongolian,3,0,2,3,3000,3970
mongolian,3,0,1,1,1000,600
mongolian,3,0,3,10,3000,8230
tiramisu,3,0,2,3,30,9015
tiramisu,3,0,3,50,3000,134829
tiramisu,3,0,2,1,3000,96662
tiramisu,3,0,2,3,10000,9653
mongolian,3,0,1,3,30,166
tiramisu,3,0,3,1,3000,3603
tiramisu,3,0,1,3,1,8872
tiramisu,3,0,1,50,1000,15157
mongolian,3,0,3,3,10000,17216
mongolian,3,0,3,10,300,748
tiramisu,3,0,3,10,3000,3926
mongolian,3,0,3,50,1000,29924
tiramisu,3,0,2,10,30,113
mongolian,3,0,2,3,1,589
mongolian,3,0,3,3,10000,12309
tiramisu,3,0,2,10,100,29349
tiramisu,3,0,3,1,300,1555
mongolian,3,0,2,1,1000,4068
mongolian,3,0,3,50,10000,267035
tiramisu,3,0,2,10,1,29132
tiramisu,3,0,1,50,300,4479
tiramisu,3,0,1,50,1000,1447764
mongolian,3,0,1,10,1000,1887
tiramisu,3,0,3,10,300,3672
tiramisu,3,0,2,10,3000,7226
tiramisu,3,0,2,10,300,318
mongolian,3,0,1,50,10000,265795
tiramisu,3,0,1,10,1,1028
tiramisu,3,0,3,10,1,338
mongolian,3,0,2,1,300,1237
tiramisu,3,0,1,50,300,4489
tiramisu,3,0,1,50,30,144607
mongolian,3,0,3,10,30,541
tiramisu,3,0,3,50,1,745
tiramisu,3,0,3,10,30,1229
tiramisu,3,0,3,50,100,144906
tiramisu,3,0,1,10,3000,9878
tiramisu,3,0,2,50,3000,5753
mongolian,3,0,1,50,100,4264
mongolian,3,0,2,3,30,9035
tiramisu,3,0,3,1,3000,100051
tiramisu,3,0,1,3,1000,699
tiramisu,3,0,2,50,1000,7144
mongolian,3,0,3,10,100,29406
tiramisu,3,0,3,10,300,733
tiramisu,3,0,1,3,30,470
tiramisu,3,0,2,10,1,299
mongolian,3,0,1,3,300,26689
mongolian,3,0,1,3,10000,6948
tiramisu,3,0,2,3,1,99
tiramisu,3,0,2,3,300,27171
tiramisu,3,0,1,1,1,36
mongolian,3,0,3,3,1000,91259
tiramisu,3,0,3,50,100,191
tiramisu,3,0,1,50,1000,15183
mongolian,3,0,2,3,10000,900332
mongolian,3,0,1,50,1,2947
tiramisu,3,0,1,10,300,3063
mongolian,3,0,2,10,300,308
tiramisu,3,0,3,1,1,47
tiramisu,3,0,3,3,1000,1125
tiramisu,3,0,3,3,3000,20246
mongolian,3,0,3,10,30,146
tiramisu,3,0,2,1,100,102
tiramisu,3,0,3,1,30,130
tiramisu,3,0,1,1,300,232
mongolian,3,0,3,50,1000,26271
tiramisu,3,0,2,1,100,3215
mongolian,3,0,2,50,1,158
mongolian,3,0,2,10,3000,33832
tiramisu,3,0,1,3,30,468
mongolian,3,0,2,1,10000,9262
tiramisu,3,0,2,1,3000,12190
mongolian,3,0,3,10,3000,37097
mongolian,3,0,2,3,3000,17039
mongolian,3,0,1,50,100,144702
mongolian,3,0,3,50,30,3006
tiramisu,3,0,1,10,1000,751
tiramisu,3,0,1,3,10000,10043
tiramisu,3,0,2,10,10000,30921
mongolian,3,0,2,10,1000,5337
mongolian,3,0,3,1,10000,12063
tiramisu,3,0,3,10,100,311
mongolian,3,0,3,1,30,79
mongolian,3,0,2,50,100,1034
mongolian,3,0,3,50,10000,75114
mongolian,3,0,2,3,1000,1670
tiramisu,3,0,3,3,100,129
tiramisu,3,0,1,1,1000,2958
mongolian,3,0,1,10,1000,2066
mongolian,3,0,2,10,100,206
mongolian,3,0,1,3,10000,46074
tiramisu,3,0,3,50,10000,445661
mongolian,3,0,1,10,100,29107
mongolian,3,0,3,10,1000,5336
mongolian,3,0,3,1,1000,672
tiramisu,3,0,1,50,1,4245
mongolian,3,0,2,50,30,2642
tiramisu,3,0,2,50,1000,7083
tiramisu,3,0,3,10,1000,2412
tiramisu,3,0,3,10,1000,1412
mongolian,3,0,3,3,1,9116
mongolian,3,0,3,3,300,368
mongolian,3,0,1,3,1,8906
tiramisu,3,0,1,10,10000,8089
tiramisu,3,0,3,1,300,9989
mongolian,3,0,3,1,1,126
tiramisu,3,0,1,1,100,295
tiramisu,3,0,2,50,1,715
tiramisu,3,0,2,3,300,398
tiramisu,3,0,1,1,10000,311416
mongolian,3,0,1,3,300,493
mongolian,3,0,1,3,10000,16651
mongolian,3,0,3,10,10000,13103
tiramisu,3,0,2,1,100,98
tiramisu,3,0,2,1,300,319
mongolian,3,0,2,3,1,176
mongolian,3,0,2,3,30,126
mongolian,3,0,3,50,100,230
tiramisu,3,0,1,10,300,215
mongolian,3,0,1,10,3000,30685
tiramisu,3,0,3,10,300,951
tiramisu,3,0,3,1,3000,4003
mongolian,3,0,1,3,1,170
mongolian,3,0,1,50,100,145005
mongolian,3,0,3,10,30,548
tiramisu,3,0,3,1,30,522
mongolian,3,0,3,3,10000,67630
mongolian,3,0,1,1,30,316
mongolian,3,0,2,1,1,64
mongolian,3,0,3,3,10000,16479
mongolian,3,0,3,50,30,754
tiramisu,3,0,2,50,1,163
mongolian,3,0,1,3,1000,88929
tiramisu,3,0,1,50,1000,14855
tiramisu,3,0,2,50,300,3113
tiramisu,3,0,3,1,100,41
tiramisu,3,0,3,10,30,1241
tiramisu,3,0,1,10,10000,8060
tiramisu,3,0,1,50,1000,15155
mongolian,3,0,3,10,1000,293723
mongolian,3,0,1,10,1,1036
mongolian,3,0,3,50,300,569
tiramisu,3,0,3,3,30,165
tiramisu,3,0,2,50,1000,15154
mongolian,3,0,3,50,30,2625
tiramisu,3,0,2,1,10000,10825
tiramisu,3,0,3,10,300,824
tiramisu,3,0,1,1,1000,646
tiramisu,3,0,1,10,3000,5606
tiramisu,3,0,2,10,1,1130
tiramisu,3,0,2,3,30,96
mongolian,3,0,2,50,30,144663
mongolian,3,0,3,10,30,538
mongolian,3,0,3,3,100,179
mongolian,3,0,2,3,1000,1002
mongolian,3,0,1,1,100,3130
mongolian,3,0,2,3,100,9023
tiramisu,3,0,2,50,100,4348
mongolian,3,0,3,10,30,537
mongolian,3,0,3,50,10000,265684
tiramisu,3,0,3,50,3000,133566
mongolian,3,0,2,1,100,108
mongolian,3,0,1,50,3000,79613
tiramisu,3,0,1,1,30,63
mongolian,3,0,3,3,10000,17171
mongolian,3,0,3,50,1,144809
tiramisu,3,0,3,50,10000,149694
mongolian,3,0,2,10,30,1160
mongolian,3,0,2,3,30,126
mongolian,3,0,1,1,300,200
tiramisu,3,0,3,1,300,1532
mongolian,3,0,2,3,30,566
tiramisu,3,0,2,50,100,1497
mongolian,3,0,1,10,100,534
mongolian,3,0,2,50,100,2975
tiramisu,3,0,1,3,10000,9552
mongolian,3,0,3,3,1000,1606
tiramisu,3,0,3,50,3000,45625
mongolian,3,0,3,50,30,757
tiramisu,3,0,3,10,300,394
mongolian,3,0,1,3,300,533
mongolian,3,0,3,1,30,122
mongolian,3,0,2,3,3000,5347
tiramisu,3,0,1,50,100,144675
mongolian,3,0,2,3,300,402
mongolian,3,0,3,3,30,158
mongolian,3,0,3,10,300,1583
mongolian,3,0,2,1,10000,6506
mongolian,3,0,2,3,3000,2813
tiramisu,3,0,3,50,10000,153348
tiramisu,3,0,2,1,30,40
tiramisu,3,0,1,3,10000,9827
tiramisu,3,0,2,3,300,306
mongolian,3,0,1,50,1,144802
mongolian,3,0,3,3,10000,12348
tiramisu,3,0,1,1,10000,3967
tiramisu,3,0,2,50,1,1524
tiramisu,3,0,3,3,1,109
tiramisu,3,0,3,3,100,131
mongolian,3,0,3,1,3000,1997
tiramisu,3,0,2,10,3000,9040
mongolian,3,0,1,3,30,160
mongolian,3,0,1,3,3000,266836
tiramisu,3,0,1,10,100,328
tiramisu,3,0,3,50,30,742
tiramisu,3,0,2,3,3000,2981
mongolian,3,0,2,50,1000,7167
mongolian,3,0,2,3,3000,16996
mongolian,3,0,2,1,100,74
tiramisu,3,0,2,50,3000,5775
mongolian,3,0,1,50,30,696
tiramisu,3,0,3,10,1,137
tiramisu,3,0,1,3,1,110
mongolian,3,0,1,10,10000,53625
mongolian,3,0,2,1,1,90
mongolian,3,0,3,3,10000,16479
mongolian,3,0,2,10,1,219
mongolian,3,0,2,3,1000,1021
mongolian,3,0,3,3,30,9116
mongolian,3,0,3,3,30,9117
tiramisu,3,0,2,10,10000,112764
tiramisu,3,0,2,10,3000,9130
tiramisu,3,0,2,1,100,411
mongolian,3,0,2,10,100,29165
mongolian,3,0,3,1,10000,51592
tiramisu,3,0,1,1,300,922
tiramisu,3,0,2,3,3000,4150
tiramisu,3,0,3,50,30,1072
mongolian,3,0,1,3,1000,88935
tiramisu,3,0,2,10,100,306
mongolian,3,0,2,1,30,93
mongolian,3,0,1,1,100,61
mongolian,3,0,1,3,100,8895
tiramisu,3,0,2,50,30,145038
tiramisu,3,0,2,3,30,9027
mongolian,3,0,1,3,30,77
mongolian,3,0,1,3,10000,6831
tiramisu,3,0,3,1,300,392
mongolian,3,0,1,50,300,408
mongolian,3,0,3,10,3000,37454
mongolian,3,0,1,10,10000,8077
tiramisu,3,0,2,1,30,50
tiramisu,3,0,1,1,300,916
mongolian,3,0,1,1,10000,311635
mongolian,3,0,2,3,30,139
mongolian,3,0,3,1,10000,7295
mongolian,3,0,2,10,300,641
mongolian,3,0,1,10,300,1582
tiramisu,3,0,3,3,100,691
mongolian,3,0,2,3,1,115
mongolian,3,0,2,10,100,523
tiramisu,3,0,3,50,10000,107046
tiramisu,3,0,3,1,1000,5223
tiramisu,3,0,2,50,3000,131308
mongolian,3,0,2,50,1000,7178
mongolian,3,0,2,10,30,545
mongolian,3,0,2,50,100,4314
tiramisu,3,0,2,3,3000,270083
mongolian,3,0,1,3,1000,88933
mongolian,3,0,1,10,10000,8285
tiramisu,3,0,2,3,10000,10808
tiramisu,3,0,1,10,1000,751
tiramisu,3,0,1,1,1000,636
mongolian,3,0,3,50,30,2638
mongolian,3,0,3,1,100,132
tiramisu,3,0,1,50,100,1506
mongolian,3,0,3,3,1000,91269
mongolian,3,0,1,50,3000,4096
mongolian,3,0,1,3,1000,4603
tiramisu,3,0,1,10,300,87424
tiramisu,3,0,2,1,100,419
mongolian,3,0,1,10,100,535
tiramisu,3,0,2,3,300,1692
tiramisu,3,0,2,50,1000,14950
tiramisu,3,0,1,10,30,187
tiramisu,3,0,3,1,300,9983
tiramisu,3,0,1,1,100,297
mongolian,3,0,1,10,10000,55791
mongolian,3,0,3,50,1000,2294
mongolian,3,0,2,10,10000,53661
mongolian,3,0,2,1,1,75
tiramisu,3,0,3,10,1,1258
mongolian,3,0,3,3,300,497
mongolian,3,0,2,10,1,1129
tiramisu,3,0,1,10,1,299
mongolian,3,0,2,1,1000,917
tiramisu,3,0,1,50,1,1535
mongolian,3,0,1,50,30,2931
tiramisu,3,0,2,50,1000,14965
tiramisu,3,0,1,3,300,307
tiramisu,3,0,3,3,1000,986
tiramisu,3,0,1,3,30,92
mongolian,3,0,1,1,300,196
mongolian,3,0,3,1,1,3330
mongolian,3,0,2,1,10000,6518
tiramisu,3,0,3,50,1,1504
tiramisu,3,0,2,50,300,479
tiramisu,3,0,1,50,30,4274
tiramisu,3,0,3,50,100,1496
mongolian,3,0,1,50,100,2645
tiramisu,3,0,2,50,100,1508
tiramisu,3,0,2,3,100,106
mongolian,3,0,1,10,1000,291323
mongolian,3,0,2,50,300,435345
tiramisu,3,0,3,1,10000,333274
mongolian,3,0,1,50,1000,26568
tiramisu,3,0,1,3,100,8999
tiramisu,3,0,3,3,1000,6879
mongolian,3,0,1,3,1,8915
mongolian,3,0,2,3,3000,3930
mongolian,3,0,1,10,1000,291173
tiramisu,3,0,3,50,30,181
mongolian,3,0,1,50,3000,128105
tiramisu,3,0,2,50,300,434326
tiramisu,3,0,3,1,1,142
tiramisu,3,0,2,3,10000,9650
tiramisu,3,0,1,3,3000,2923
mongolian,3,0,1,10,1000,291139
tiramisu,3,0,2,10,3000,9338
tiramisu,3,0,2,10,30,224
tiramisu,3,0,1,3,100,95
tiramisu,3,0,2,1,10000,11029
mongolian,3,0,1,1,3000,93385
tiramisu,3,0,2,10,3000,7127
mongolian,3,0,2,3,1,134
mongolian,3,0,3,1,10000,6243
tiramisu,3,0,3,1,1,53
tiramisu,3,0,2,50,30,708
mongolian,3,0,3,1,3000,4023
mongolian,3,0,3,1,300,377
mongolian,3,0,1,50,30,144863
mongolian,3,0,3,3,30,154
mongolian,3,0,3,3,300,489
mongolian,3,0,2,1,3000,12195
mongolian,3,0,3,10,1000,12475
tiramisu,3,0,1,3,3000,13713
mongolian,3,0,3,3,3000,20275
mongolian,3,0,2,50,300,7923
tiramisu,3,0,2,10,30,317
tiramisu,3,0,1,3,3000,2864
mongolian,3,0,3,10,3000,37643
tiramisu,3,0,2,50,1000,14904
mongolian,3,0,2,50,1,2644
tiramisu,3,0,1,50,300,12727
tiramisu,3,0,3,3,3000,3902
tiramisu,3,0,3,50,10000,149627
tiramisu,3,0,2,50,3000,45530
mongolian,3,0,2,3,300,519
mongolian,3,0,3,10,300,429
tiramisu,3,0,2,3,3000,270213
mongolian,3,0,2,3,3000,16982
mongolian,3,0,1,10,1000,290927
mongolian,3,0,1,10,300,1596
mongolian,3,0,1,3,30,72
mongolian,3,0,2,3,3000,3911
mongolian,3,0,2,50,1000,29722
tiramisu,3,0,3,3,30,9133
mongolian,3,0,2,10,10000,21650
tiramisu,3,0,1,1,100,37
tiramisu,3,0,3,10,100,278
mongolian,3,0,1,1,3000,93393
tiramisu,3,0,1,3,100,8887
mongolian,3,0,3,10,100,1272
mongolian,3,0,1,3,3000,266686
mongolian,3,0,2,1,300,210
mongolian,3,0,2,10,3000,3110
mongolian,3,0,1,10,3000,15849
mongolian,3,0,1,10,3000,16055
tiramisu,3,0,1,10,30,178
tiramisu,3,0,1,10,1000,291162
tiramisu,3,0,2,1,100,43
tiramisu,3,0,3,3,3000,273800
mongolian,3,0,1,50,1000,26477
tiramisu,3,0,2,3,30,91
tiramisu,3,0,2,3,100,97
mongolian,3,0,1,3,1000,1015
tiramisu,3,0,1,3,1,97
tiramisu,3,0,1,3,3000,2974
tiramisu,3,0,1,10,1,187
mongolian,3,0,1,50,300,7931
tiramisu,3,0,2,1,300,130
tiramisu,3,0,1,1,300,9316
mongolian,3,0,1,10,300,87325
tiramisu,3,0,1,50,10000,98773
tiramisu,3,0,3,10,3000,879876
tiramisu,3,0,3,3,300,27300
mongolian,3,0,1,3,300,493
tiramisu,3,0,1,10,30,29120
mongolian,3,0,3,1,1000,33409
mongolian,3,0,2,3,300,26987
tiramisu,3,0,2,1,1000,403
mongolian,3,0,1,50,10000,13729
tiramisu,3,0,2,50,10000,16117
mongolian,3,0,1,10,3000,874396
tiramisu,3,0,2,10,1000,292554
mongolian,3,0,1,1,100,62
mongolian,3,0,3,1,1000,33343
tiramisu,3,0,1,10,3000,30773
mongolian,3,0,3,3,1000,91134
mongolian,3,0,2,3,3000,270117
mongolian,3,0,1,50,30,2626
tiramisu,3,0,3,50,10000,14523406
mongolian,3,0,3,50,3000,4349981
tiramisu,3,0,1,3,30,98
mongolian,3,0,2,10,300,3376
mongolian,3,0,2,1,300,199
mongolian,3,0,2,50,1000,26387
mongolian,3,0,3,10,3000,15921
tiramisu,3,0,3,10,1000,2747
mongolian,3,0,1,3,100,64
tiramisu,3,0,2,50,100,1030
tiramisu,3,0,1,50,100,144842
tiramisu,3,0,1,50,30,1519
tiramisu,3,0,1,50,300,12784
tiramisu,3,0,1,3,10000,9752
tiramisu,3,0,3,3,1,692
tiramisu,3,0,2,10,3000,9078
tiramisu,3,0,1,1,30,48
tiramisu,3,0,1,1,300,9363
mongolian,3,0,1,10,10000,102099
mongolian,3,0,1,50,3000,79836
tiramisu,3,0,3,50,100,4485
mongolian,3,0,1,1,300,195
mongolian,3,0,3,3,300,503
tiramisu,3,0,1,50,1,4253
mongolian,3,0,3,10,1000,294228
mongolian,3,0,3,50,10000,19366
tiramisu,3,0,3,3,10000,10236
tiramisu,3,0,3,50,3000,133920
mongolian,3,0,3,1,10000,6220
mongolian,3,0,1,1,30,68
mongolian,3,0,3,10,1000,1427
tiramisu,3,0,1,3,300,26704
mongolian,3,0,2,10,30,119
tiramisu,3,0,2,10,300,3433
tiramisu,3,0,1,10,1000,1835
mongolian,3,0,1,10,1000,10174
tiramisu,3,0,2,1,1000,408
mongolian,3,0,1,10,100,72
tiramisu,3,0,1,1,100,65
tiramisu,3,0,1,1,100,39
tiramisu,3,0,3,10,30,314
mongolian,3,0,2,10,300,87701
tiramisu,3,0,1,1,300,111
mongolian,3,0,2,10,30,537
mongolian,3,0,2,50,1000,43559
tiramisu,3,0,3,1,10000,13688
tiramisu,3,0,3,10,3000,4284
mongolian,3,0,2,3,100,133
mongolian,3,0,2,50,3000,21530
mongolian,3,0,2,1,30,116
tiramisu,3,0,1,1,1,35
tiramisu,3,0,2,10,1000,1048
mongolian,3,0,2,10,10000,113062
mongolian,3,0,1,10,3000,30866
mongolian,3,0,3,50,10000,265887
tiramisu,3,0,3,3,3000,3068
tiramisu,3,0,1,50,100,1524
mongolian,3,0,1,3,30,65
tiramisu,3,0,1,10,100,305
mongolian,3,0,2,50,1,2949
tiramisu,3,0,2,50,100,153
tiramisu,3,0,2,1,1,37
mongolian,3,0,2,3,100,566
mongolian,3,0,1,1,300,195
mongolian,3,0,3,10,300,1703
mongolian,3,0,1,3,1000,1681
mongolian,3,0,1,50,1,988
mongolian,3,0,1,50,1,2616
tiramisu,3,0,1,3,1,107
tiramisu,3,0,1,1,1000,662
tiramisu,3,0,3,10,30,29384
tiramisu,3,0,2,1,30,39
mongolian,3,0,1,3,30,468
mongolian,3,0,1,3,1000,1013
tiramisu,3,0,2,3,1,9026
tiramisu,3,0,3,50,1,145140
tiramisu,3,0,1,3,1000,702
mongolian,3,0,2,3,100,587
mongolian,3,0,3,3,3000,4805
mongolian,3,0,1,50,1000,1450330
mongolian,3,0,2,50,300,493
tiramisu,3,0,2,50,300,2128
mongolian,3,0,2,3,10000,902485
tiramisu,3,0,3,10,1,1271
tiramisu,3,0,3,1,1,38
tiramisu,3,0,1,1,3000,1116
mongolian,3,0,1,3,300,523
mongolian,3,0,2,50,1,4343
mongolian,3,0,1,1,300,9343
mongolian,3,0,2,3,10000,17795
mongolian,3,0,3,50,1000,1449669
mongolian,3,0,2,50,300,8015
tiramisu,3,0,3,3,300,27450
tiramisu,3,0,1,3,1000,1007
tiramisu,3,0,1,50,300,434138
tiramisu,3,0,1,50,10000,14803789
tiramisu,3,0,3,10,1000,12525
mongolian,3,0,2,10,100,244
mongolian,3,0,2,10,10000,115659
mongolian,3,0,2,1,3000,1854
tiramisu,3,0,3,50,1,1862
mongolian,3,0,2,10,1,545
mongolian,3,0,1,10,1000,1897
mongolian,3,0,1,50,30,4272
tiramisu,3,0,2,3,3000,17260
tiramisu,3,0,2,50,1000,1615
mongolian,3,0,3,10,1,1253
tiramisu,3,0,1,50,1,128
tiramisu,3,0,1,1,3000,2312
tiramisu,3,0,1,3,100,68
tiramisu,3,0,1,1,10000,7610
tiramisu,3,0,1,10,10000,7630
tiramisu,3,0,3,3,30,111
mongolian,3,0,2,10,1,226
mongolian,3,0,1,50,300,442286
tiramisu,3,0,1,50,1,1868
mongolian,3,0,1,10,100,548
mongolian,3,0,3,50,100,4666
mongolian,3,0,3,10,1,140
tiramisu,3,0,2,3,10000,916391
tiramisu,3,0,2,50,3000,4986
tiramisu,3,0,3,3,100,161
mongolian,3,0,3,3,300,2091
tiramisu,3,0,3,1,300,424
tiramisu,3,0,3,50,3000,4438605
tiramisu,3,0,1,1,30,326
mongolian,3,0,2,10,3000,3528
mongolian,3,0,1,10,3000,896918
tiramisu,3,0,3,50,1000,15533
tiramisu,3,0,3,50,300,3233
tiramisu,3,0,2,1,100,3302
tiramisu,3,0,2,3,1,105
mongolian,3,0,1,3,1000,672
tiramisu,3,0,2,10,1000,295947
mongolian,3,0,1,1,3000,2386
tiramisu,3,0,1,10,10000,2960144
tiramisu,3,0,3,10,30,239
tiramisu,3,0,1,1,1000,421
mongolian,3,0,2,3,100,9173
mongolian,3,0,2,10,100,1165
mongolian,3,0,3,3,300,27985
mongolian,3,0,2,10,10000,25360
tiramisu,3,0,3,3,1,9340
tiramisu,3,0,3,50,30,147667
mongolian,3,0,3,50,30,745
mongolian,3,0,3,10,3000,38124
mongolian,3,0,3,1,3000,1896
tiramisu,3,0,1,50,3000,45504
mongolian,3,0,3,10,300,1661
mongolian,3,0,1,1,300,191
tiramisu,3,0,1,50,30,4277
tiramisu,3,0,2,10,1000,11365
mongolian,3,0,1,10,30,541
tiramisu,3,0,1,10,1000,296237
tiramisu,3,0,1,50,1000,1469057
tiramisu,3,0,1,3,300,294
mongolian,3,0,1,1,30,85
mongolian,3,0,2,10,300,1593
mongolian,3,0,2,3,30,104
mongolian,3,0,1,10,10000,102924
mongolian,3,0,1,3,1000,1685
mongolian,3,0,1,10,100,186
mongolian,3,0,3,10,1,128
tiramisu,3,0,1,1,30,41
tiramisu,3,0,1,3,3000,3044
mongolian,3,0,2,3,3000,3920
mongolian,3,0,1,50,10000,16435
tiramisu,3,0,3,1,1,130
mongolian,3,0,3,1,300,196
tiramisu,3,0,3,10,30,317
mongolian,3,0,2,50,100,188
tiramisu,3,0,2,3,30,100
mongolian,3,0,2,10,30,123
mongolian,3,0,2,1,300,317
mongolian,3,0,1,50,30,4318
tiramisu,3,0,2,3,300,1744
tiramisu,3,0,3,50,300,438913
tiramisu,3,0,3,1,100,41
mongolian,3,0,3,1,30,523
tiramisu,3,0,1,10,1000,3064
tiramisu,3,0,2,1,10000,9372
mongolian,3,0,3,10,3000,7394
tiramisu,3,0,3,1,3000,3658
mongolian,3,0,3,10,3000,37750
tiramisu,3,0,2,50,100,753
tiramisu,3,0,2,10,1,112
mongolian,3,0,2,10,30,539
mongolian,3,0,3,10,1,146
mongolian,3,0,3,50,1,149872
mongolian,3,0,2,3,100,172
tiramisu,3,0,2,3,3000,3996
tiramisu,3,0,2,10,3000,9101
tiramisu,3,0,1,50,300,4604
mongolian,3,0,3,50,100,195
tiramisu,3,0,1,10,100,1054
mongolian,3,0,3,10,300,1722
mongolian,3,0,1,50,100,4272
mongolian,3,0,3,1,30,513
mongolian,3,0,2,1,300,191
tiramisu,3,0,1,1,3000,1241
mongolian,3,0,1,50,1000,1477091
tiramisu,3,0,3,1,100,44
tiramisu,3,0,1,50,10000,13597
tiramisu,3,0,3,10,30,29769
mongolian,3,0,3,10,300,1665
mongolian,3,0,3,50,10000,19564
mongolian,3,0,2,50,1000,43902
mongolian,3,0,1,10,30,549
tiramisu,3,0,2,1,300,117
mongolian,3,0,3,1,300,362
mongolian,3,0,2,50,100,2663
mongolian,3,0,3,50,3000,4487912
tiramisu,3,0,3,3,10000,16854
tiramisu,3,0,1,10,10000,19170
mongolian,3,0,1,10,10000,55576
tiramisu,3,0,3,1,1,133
tiramisu,3,0,3,10,100,1276
tiramisu,3,0,2,10,1000,3182
mongolian,3,0,2,10,1,112
tiramisu,3,0,2,50,30,1587
tiramisu,3,0,1,1,1,3219
tiramisu,3,0,3,1,10000,338541
mongolian,3,0,3,3,300,505
mongolian,3,0,1,10,100,185
mongolian,3,0,2,1,1,61
mongolian,3,0,1,50,1,699
mongolian,3,0,2,10,300,91255
mongolian,3,0,1,1,1,3299
mongolian,3,0,1,3,300,536
mongolian,3,0,3,3,10000,17856
mongolian,3,0,2,3,3000,3976
mongolian,3,0,1,10,10000,21087
tiramisu,3,0,1,3,10000,10984
mongolian,3,0,1,1,10000,320822
tiramisu,3,0,1,10,1,309
mongolian,3,0,2,3,3000,4175
mongolian,3,0,1,50,30,2659
mongolian,3,0,2,10,10000,25244
tiramisu,3,0,1,50,30,4254
mongolian,3,0,1,10,3000,30508
mongolian,3,0,3,3,30,126
mongolian,3,0,2,1,10000,40714
mongolian,3,0,2,50,1,2693
mongolian,3,0,2,1,1,95
tiramisu,3,0,3,50,10000,152173
mongolian,3,0,3,50,100,145049
tiramisu,3,0,2,50,300,13099
tiramisu,3,0,2,10,1,99
tiramisu,3,0,3,50,100,4501
mongolian,3,0,3,1,1,517
tiramisu,3,0,1,10,30,307
tiramisu,3,0,1,50,10000,14465852
mongolian,3,0,1,3,300,501
mongolian,3,0,1,50,3000,20742
